event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,P01,4,Jack Le Brocq,8,229,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,9,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,10,233,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,11,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,1,246,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,2,150,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,3,129,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,4,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,5,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,6,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,7,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,8,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,9,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,10,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,11,210,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,12,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,13,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,6,Cameron Waters,14,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,1,216,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,2,145,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,3,119,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,4,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,5,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,6,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,7,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,8,222,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,9,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,10,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,11,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,12,200,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,13,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,14,251,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,7,James Golding,15,252,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,1,226,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,2,98,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,3,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,4,245,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,5,250,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,6,253,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,7,250,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,8,251,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,9,250,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,10,191,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,11,236,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,12,248,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,13,187,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,14,249,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,15,214,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,16,250,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,17,251,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,8,Andre Heimgartner,18,190,FALSE,Toyota,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,1,167,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,2,121,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,3,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,4,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,5,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,6,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,7,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,8,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,9,237,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,10,231,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,11,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,12,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
